State_Name,State_MeanIncome,State_MedianIncome,State_StdevIncome,Inequality_Ratio
Alabama,53549.83745717548,39615.5,42014.471830985916,0.7845863559265787
Alaska,73461.35639810427,67904.0,48921.791469194315,0.6659527385265757
Arizona,62840.83979244365,48840.0,43943.43197664991,0.6992814246561664
Arkansas,51109.237562555194,37790.0,40652.412717103325,0.7954024488693804
California,78650.14139350511,65296.0,53898.916542155814,0.6852996776253317
Colorado,74432.32472464869,61567.0,49993.99240410179,0.6716704414251083
Connecticut,88084.28671721427,79490.0,57656.458298230835,0.6545600861062891
Delaware,73794.47591743119,59351.0,51592.26834862385,0.6991345586131753
District of Columbia,91846.43492063491,75776.5,62716.184126984124,0.6828374360004019
Florida,61724.72185111633,46591.0,46013.25010531383,0.7454590109988751
Georgia,60445.872205253516,44089.0,45191.57617593158,0.7476370929428636
Hawaii,78819.7327523602,70749.0,52318.05591866376,0.6637685017664201
Idaho,56377.80990629183,45317.5,41945.33266398929,0.744004294131123
Illinois,69947.43727298127,55841.0,48945.17700474993,0.6997422480788452
Indiana,58199.19086900868,47864.0,41537.10339923197,0.7137058570577252
Iowa,61412.062403528114,51400.0,43846.59073869901,0.7139735912236685
Kansas,60683.55727391874,48494.0,42323.00917431193,0.6974378410822331
Kentucky,55199.07072335281,40887.0,42072.66512190208,0.7621987937580006
Louisiana,56549.06440877056,41661.0,45400.669929522315,0.8028544840519206
Maine,60176.52541296061,47477.0,46066.034942820836,0.7655150347530583
Maryland,87913.69387058221,79395.0,55087.99453645211,0.6266144909978094
Massachusetts,84740.10655737705,74480.0,57614.56780923994,0.6798972782767206
Michigan,59765.45665133708,46981.0,43122.64699369784,0.7215312893076187
Minnesota,71721.56747891284,58436.0,49248.96501093408,0.6866688325713737
Mississippi,49090.0056057303,35809.0,40347.291186546245,0.8219043915088998
Missouri,57542.84885714286,43964.0,41869.33185714285,0.7276200724974284
Montana,58254.98650472335,46468.0,44113.906882591094,0.757255464800671
Nebraska,62938.65395787945,51751.5,43866.86129266521,0.6969780656895255
Nevada,64949.36737000754,54657.0,44575.22569706104,0.6863073114033915
New Hampshire,78389.863878327,68590.0,53216.276045627375,0.6788668000269414
New Jersey,89249.17429022082,79926.0,58062.17282559712,0.6505625770473832
New Mexico,56187.235,43261.5,42956.05458333333,0.7645162568212038
New York,75745.79503565805,60819.0,53001.25761785681,0.6997254117262346
North Carolina,58557.675663861875,43739.0,43952.42694787455,0.7505835306745147
North Dakota,67635.42953586498,56572.0,48591.17130801688,0.7184277772975549
Ohio,60080.73095732069,47907.5,42999.01192946058,0.7156872302370226
Oklahoma,56574.45679783469,42745.0,42770.957526545906,0.7560118107609105
Oregon,63958.41371280725,51082.0,46536.53505821475,0.7276061483822592
Pennsylvania,65502.47090341834,52457.0,46881.80412371134,0.7157257348785716
Puerto Rico,27613.839736842107,17349.5,25314.11894736842,0.9167185436219715
Rhode Island,72224.26940639269,61364.0,51873.56438356164,0.7182289943520042
South Carolina,55413.45870560035,41190.0,42930.06580954456,0.7747227264340719
South Dakota,58639.960876369325,48758.0,42845.255086071986,0.7306494486993719
Tennessee,56584.582540203475,41515.0,42720.13849688218,0.7549784160116304
Texas,65528.01508105524,49835.0,46326.22121778435,0.7069681747643488
Utah,72216.35826620637,62922.0,47094.02032988109,0.6521239987799098
Vermont,65696.36275695285,54891.0,49079.48972188633,0.7470655552645812
Virginia,79932.47650579397,64103.0,50938.72367248186,0.6372719312504915
Washington,75276.7911576498,64156.0,50702.7310936591,0.6735506430856487
West Virginia,52394.05379365716,39983.0,41937.77679646728,0.800430082421763
Wisconsin,63259.944065281896,52830.5,44564.37759643917,0.7044643850846659
Wyoming,68398.78313253012,61092.0,46078.24096385542,0.6736704785313766
