State,epsilon,true_mean,true_median,true_stdev,dp_mean_laplace,dp_median_laplace,dp_stdev_laplace,dp_mean_gaussian,dp_median_gaussian,dp_stdev_gaussian,abs_err_mean_lap,abs_err_median_lap,abs_err_stdev_lap,abs_err_mean_gauss,abs_err_median_gauss,abs_err_stdev_gauss
Alabama,0.05,53549.83745717548,39615.5,42014.471830985916,52880.90844468149,39864.76924777147,41477.292441902304,55833.792769555585,38793.871125993835,44266.57035539481,668.9290124939944,249.2692477714736,537.1793890836125,2283.9553123801015,821.6288740061646,2252.098524408895
Alaska,0.05,73461.35639810427,67904.0,48921.791469194315,72407.36200405995,70407.10635707228,49708.29164426487,79820.17106479309,53451.44114695045,77261.74179507385,1053.994394044319,2503.1063570722763,786.500175070556,6358.814666688821,14452.558853049552,28339.95032587953
Arizona,0.05,62840.83979244365,48840.0,43943.43197664991,61451.28746164201,49825.23369943689,43960.94140480278,61047.011768119075,44801.06293315871,46785.76691679551,1389.5523308016418,985.2336994368889,17.509428152872715,1793.8280243245754,4038.9370668412885,2842.3349401456
Arkansas,0.05,51109.237562555194,37790.0,40652.412717103325,50485.34626311747,42112.79888899018,40533.70083111848,56810.854268945135,33820.02225766369,43492.30015227702,623.8912994377242,4322.798888990183,118.7118859848415,5701.616706389941,3969.977742336312,2839.887435173696
California,0.05,78650.14139350511,65296.0,53898.916542155814,78357.60045482266,65505.73866119716,53863.16575018315,79420.30500453566,65617.07591634565,52828.71714134893,292.5409386824467,209.73866119715967,35.75079197266314,770.1636110305553,321.07591634565324,1070.1994008068868
Colorado,0.05,74432.32472464869,61567.0,49993.99240410179,75039.1305918698,61792.05724687595,48413.91608739244,79310.10124916374,72697.03870888898,51494.527970471965,606.8058672211191,225.0572468759492,1580.0763167093464,4877.776524515051,11130.038708888984,1500.5355663701775
Connecticut,0.05,88084.28671721427,79490.0,57656.458298230835,88335.92450190292,80238.28573031834,50599.57956270616,92680.08378576806,74448.30320024143,63140.260701720326,251.6377846886462,748.2857303183409,7056.878735524675,4595.7970685537875,5041.696799758574,5483.802403489492
Delaware,0.05,73794.47591743119,59351.0,51592.26834862385,89189.45315133886,51614.971734233666,42509.471619661344,56288.63825646851,117865.66794169022,57103.245007241254,15394.977233907674,7736.028265766334,9082.796728962508,17505.83766096268,58514.66794169022,5510.976658617401
District of Columbia,0.05,91846.43492063491,75776.5,62716.184126984124,98513.122009047,96103.68003359386,67773.69511863455,77008.61724357426,69242.28105196482,93464.52279264141,6666.687088412087,20327.18003359386,5057.51099165043,14837.817677060651,6534.218948035181,30748.338665657284
Florida,0.05,61724.72185111633,46591.0,46013.25010531383,61780.31110162294,47245.060615710914,45466.01596298316,60494.95971615659,48124.019668672554,45722.07195485421,55.58925050660764,654.0606157109141,547.2341423306716,1229.7621349597393,1533.019668672554,291.178150459622
